Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Barbados,BRB,-3.662773713,-4.268596699,-7.33182926,0.842844443,3.385492436,1.615866575,3.540363797,4.295703793,3.297896359,-0.087747928,4.043733858,-2.730244308,0.46046706,1.824407443,1.055109594,3.584247802,5.229125449,1.31771924,-0.322427315,-4.368508652,-0.099535338,0.352818514,0.029125218,-0.200615572,-0.167675217,0.72768896,1.838700798,0.845800449,,
Brunei Darussalam,BRN,-1.748433606,0.24424738,1.820359145,-2.469033859,0.37553008,1.785105227,0.342682075,-3.788174135,-2.797581356,0.819955362,0.702384417,0.668516263,1.850859099,1.007490916,-1.212542787,-1.174474607,2.945930386,-1.101340324,-3.091355247,-2.912176,1.347649387,2.416642103,-0.427894474,-3.440627445,-3.624205175,-1.79814526,-3.602333016,0.21322875,-0.994680766,
Bhutan,BTN,9.074810647,-1.120962194,4.623591788,2.354025799,5.08942718,6.52875268,4.230657043,3.417282433,3.536685651,5.460588214,4.55561305,5.941790854,8.50292314,5.637221848,4.076915888,5.483866305,5.440061461,16.60161681,3.717415065,5.602165997,10.56057861,6.677857352,3.830917042,0.897782377,4.448666846,5.352304235,6.726936888,3.385875811,1.093903175,
Botswana,BWA,3.265163365,4.253068789,0.106907775,-0.673917306,1.102432734,4.472256593,3.329096051,5.815744234,-1.812683195,7.321700028,-0.064676397,-1.625759367,4.205052917,2.83089265,0.894957601,2.606769099,6.189992328,5.993347155,4.0169686,-9.4420183,6.72754459,4.55935823,3.219369515,10.1026078,2.848903521,-3.185996973,2.409451823,0.798916246,2.18304965,
Central African Republic,CAF,-4.274199417,-3.032243859,-8.97679905,-2.527499516,1.926426507,4.284711376,-6.483407786,2.686306605,2.198057775,1.197152114,-4.696903818,2.174749423,1.433364457,-7.324376183,3.888463844,-1.053466435,2.743704761,2.61553604,0.254521218,6.978613121,3.458686168,3.443144974,4.632756721,-36.20318736,-0.246787531,3.88805128,3.976121155,3.13132467,2.767600008,
Canada,CAN,-1.335276183,-3.29510577,-0.286763131,1.53880454,3.356440516,1.634868925,0.562184194,3.248389986,3.039550202,4.309614472,4.203799401,0.68927281,1.902703501,0.887413077,2.129903458,2.232781548,1.602834356,1.086345859,-0.080309077,-4.030419864,1.949628208,2.142309002,0.66330309,1.254655017,1.839459844,-0.058784637,-0.031327849,1.764529721,0.452912515,
Central Europe and the Baltics,CEB,,-9.475895454,-1.620240549,1.689733434,4.195166388,5.572636817,4.569895567,3.257287386,2.9673228,2.133917825,4.63080153,3.75312312,4.201795079,4.37609136,6.106815227,5.278484705,6.836626825,6.838686663,4.263615557,-3.264506264,1.92467534,3.452033997,0.974392001,1.554236077,3.265198385,4.069828823,3.405013556,4.981107617,4.542053784,
Switzerland,CHE,2.615466243,-2.146489816,-1.139719074,-1.03142251,0.46568642,-0.18835075,0.096985278,2.093918153,2.684326239,1.210872146,3.35438373,0.673371792,-0.592227692,-0.699890146,2.072135872,2.45679894,3.338088149,3.185584618,0.864917227,-3.436225955,1.935433937,0.568370351,-0.060803476,0.687571592,1.206825767,0.186394303,0.497742666,0.672860567,1.761393104,
Channel Islands,CHI,,,,,,,,,,3.026912594,5.193576537,-1.944965414,-1.960327195,-3.50660947,-0.206714252,0.734757718,3.970625085,4.783437394,,,,,,,,,,,,
Chile,CHL,1.653208892,6.041889975,9.347171554,4.868083773,3.388701238,7.308287735,5.290976507,5.983163848,2.99063175,-1.627599544,4.094287354,2.146189438,2.000617675,3.005830357,6.102839367,4.64670087,5.200451342,3.790339389,2.426197172,-2.601446898,4.750223814,5.05778792,4.309217504,3.03152589,0.692556387,1.105944345,0.332088719,-0.153995449,2.587676494,
